id,unit,word_number,kanji,kana,romaji,meaning_en,meaning_vi,han_viet
11-1,11,1,います［子どもが～］,います［こどもが～］,imasu [kodomoga~],have [a child],,
11-2,11,2,います［日本に～］,います［にほんに～］,imasu [nihonni~],"stay, be [in Japan]",,
11-3,11,3,,かかります,kakarimasu,"take, cost (referring to time or money)",đóng,Quải
11-4,11,4,休みます［会社を～］,やすみます［かいしゃを～］,yasumimasu [kaishawo~],take a day off [work],,
11-5,11,5,１つ,ひとつ,hitotsu,one (used when counting things),,
11-6,11,6,２つ,ふたつ,futatsu,two,,
11-7,11,7,３つ,みっつ,mittsu,three,,
11-8,11,8,４つ,よっつ,yottsu,four,,
11-9,11,9,５つ,いつつ,itsutsu,five,,
11-10,11,10,６つ,むっつ,muttsu,six,,
11-11,11,11,７つ,ななつ,nanatsu,seven,,
11-12,11,12,８つ,やっつ,yattsu,eight,,
11-13,11,13,９つ,ここのつ,kokonotsu,nine,,
11-14,11,14,１０,とお,too,ten,,
11-15,11,15,,いくつ,ikutsu,how many,,
11-16,11,16,１人,ひとり,hitori,one person,,
11-17,11,17,２人,ふたり,futari,two people,"cặp đôi, 2 người",Nhị - Nhân
11-18,11,18,－人,－にん,-nin,－ people,,
11-19,11,19,－台,－だい,-dai,"(counter for machines, cars, etc.)",,
11-20,11,20,－枚,－まい,-mai,"(counter for paper, stamps, etc.)",,
11-21,11,21,－回,－かい,-kai,－ times,,
11-22,11,22,,りんご,ringo,apple,,
11-23,11,23,,みかん,mikan,mandarin orange,,
11-24,11,24,,サンドイッチ,sandoitchi,sandwich,,
11-25,11,25,,カレー［ライス］,karē [raisu],curry [with rice],,
11-26,11,26,,アイスクリーム,aisukuriimu,ice cream,,
11-27,11,27,切手,きって,kitte,postage stamp,tem,Thiết - Thủ
11-28,11,28,,はがき,hagaki,postcard,,
11-29,11,29,封筒,ふうとう,fūtō,envelope,phong bì,Phong - Đồng
11-30,11,30,両親,りょうしん,ryōshin,parents,bố mẹ,Lưỡng - Thân
11-31,11,31,兄弟,きょうだい,kyōdai,brothers and sisters,anh chị em,Huynh - Đệ
11-32,11,32,兄,あに,ani,(my) elder brother,anh trai (mình),Huynh
11-33,11,33,お兄さん,おにいさん,oniisan,(someone else's) elder brother,anh trai (người khác),Huynh
11-34,11,34,姉,あね,ane,(my) elder sister,chị gái (mình),Tỉ
11-35,11,35,お姉さん,おねえさん,onēsan,(someone else's) elder sister,chị gái (người khác),Tỉ
11-36,11,36,弟,おとうと,otōto,(my) younger brother,em trai (mình),Đệ
11-37,11,37,弟さん,おとうとさん,otōtosan,(someone else's) younger brother,em trai (người khác),Đệ
11-38,11,38,妹,いもうと,imōto,(my) younger sister,,
11-39,11,39,妹さん,いもうとさん,imōtosan,(someone else's) younger sister,em gái (người khác),Muội
11-40,11,40,外国,がいこく,gaikoku,foreign country,nước ngoài,Ngoại - Quốc
11-41,11,41,留学生,りゅうがくせい,ryūgakusei,foreign student,"lưu học sinh, sinh viên người nước ngoài",Lưu - Học - Sinh
11-42,11,42,,クラス,kurasu,class,,
11-43,11,43,－時間,－じかん,-jikan,－ hour(s),,
11-44,11,44,－週間,－しゅうかん,-shūkan,－ week(s),,
11-45,11,45,－か月,－かげつ,-kagetsu,－ month(s),,
11-46,11,46,－年,－ねん,-nen,－ year(s),,
11-47,11,47,,～ぐらい,~gurai,about ～,,
11-48,11,48,,どのくらい,donokurai,how long,,
11-49,11,49,全部で,ぜんぶで,zenbude,in total,tổng cộng,Toàn - Bộ
11-50,11,50,,みんな,minna,"all, everything, everyone",,
11-51,11,51,,～だけ,~dake,only ～,,
11-52,11,52,,かしこまりました。,kashikomarimashita.,"Certainly, (Sir/Madam)",,
11-53,11,53,いい［お］天気ですね。,いい［お］てんきですね。,ii [o] tenkidesune.,"Nice weather, isn't it?",,
11-54,11,54,お出かけですか。,おでかけですか。,odekakedesuka.,Are you going out?,a/c đi ra ngoài đấy à?,Xuất
11-55,11,55,,ちょっと ～まで。,chotto ~made.,I'm just going to ～.,,
11-56,11,56,行ってらっしゃい。,いってらっしゃい。,itterasshai.,See you later./So long. (lit. Go and come back.),tôi đi đây.,Hành
11-57,11,57,行って きます。,いって きます。,itte kimasu.,See you later./So long. (lit. I'm going and coming back.),,
11-58,11,58,船便,ふなびん,funabin,sea mail,(gửi) bằng đường biển,Thuyền - Tiện
11-59,11,59,航空便（エアメール）,こうくうびん（エアメール）,kōkūbin (eamēru),airmail,,
11-60,11,60,お願いします。,おねがいします。,onegaishimasu.,Please. (lit. ask for a favour),,
11-61,11,61,,オーストラリア,ōsutoraria,Australia,,
11-62,11,62,速達,そくたつ,sokutatsu,special delivery,,
11-63,11,63,書留,かきとめ,kakitome,registered mail,,
11-64,11,64,行って まいります。,いって まいります。,itte mairimasu.,So long. (lit. I'm going and coming back),,
11-65,11,65,,それから,sorekara,"and, furthermore",,
